experiment,urgent,strategy,rule,rep,X_raw,X_cv,YE,YU,el_app,ur_scan
C_rule,14,1,1,15,0.429637,0.448470,67988,5980,19.111842,2.842880
C_rule,14,1,2,0,0.426240,0.448892,67888,5986,19.914028,2.769334
C_rule,14,1,2,1,0.486673,0.466737,68962,6019,29.601100,2.794287
C_rule,14,1,2,2,0.434451,0.450241,68052,6042,21.105793,2.779396
C_rule,14,1,2,3,0.456535,0.460220,68355,6064,24.269542,2.808658
C_rule,14,1,2,4,0.441668,0.456386,68084,6015,21.855884,2.804159
C_rule,14,1,2,5,0.459867,0.459887,68427,6181,23.926132,2.857043
C_rule,14,1,2,6,0.445068,0.451487,68293,6023,22.901827,2.778729
C_rule,14,1,2,7,0.464320,0.451659,68775,6033,25.785617,2.797506
C_rule,14,1,2,8,0.456231,0.457499,68400,6155,24.605245,2.787937
C_rule,14,1,2,9,0.440270,0.469510,67702,6092,21.320656,2.820249
C_rule,14,1,2,10,0.456747,0.462710,68333,5864,24.821141,2.781015
C_rule,14,1,2,11,0.458682,0.471852,68122,6022,24.684934,2.805732
C_rule,14,1,2,12,0.435883,0.452456,68035,6026,20.843848,2.806316
C_rule,14,1,2,13,0.446923,0.464251,68018,6014,22.518124,2.815981
C_rule,14,1,2,14,0.436375,0.464075,67723,6193,20.350830,2.837152
C_rule,14,1,2,15,0.428181,0.446932,67988,5980,19.782747,2.793836
C_rule,14,1,3,0,0.429947,0.452690,67888,5986,19.786094,2.809550
C_rule,14,1,3,1,0.490217,0.470150,68963,6019,29.452473,2.834139
C_rule,14,1,3,2,0.437930,0.453830,68051,6042,20.966547,2.818166
C_rule,14,1,3,3,0.460333,0.464038,68355,6064,24.181745,2.847543
C_rule,14,1,3,4,0.445086,0.459865,68084,6015,21.674077,2.844664
C_rule,14,1,3,5,0.463780,0.463864,68426,6181,23.849288,2.896376
C_rule,14,1,3,6,0.449027,0.455472,68293,6023,22.830495,2.818182
C_rule,14,1,3,7,0.467973,0.455256,68775,6033,25.629221,2.838764
C_rule,14,1,3,8,0.459766,0.461060,68400,6155,24.432042,2.829034
C_rule,14,1,3,9,0.443441,0.472859,67701,6092,21.115082,2.859806
C_rule,14,1,3,10,0.460165,0.466125,68333,5864,24.637953,2.821595
C_rule,14,1,3,11,0.462679,0.475904,68122,6022,24.619670,2.845198
C_rule,14,1,3,12,0.439771,0.456375,68036,6026,20.726257,2.847603
C_rule,14,1,3,13,0.450626,0.468026,68018,6014,22.431762,2.853931
C_rule,14,1,3,14,0.439691,0.467540,67723,6193,20.182467,2.876015
C_rule,14,1,3,15,0.431763,0.450627,67987,5980,19.653263,2.833017
C_rule,14,1,4,0,0.426370,0.448996,67888,5986,19.289672,2.803957
C_rule,14,1,4,1,0.486858,0.466935,68962,6019,28.954399,2.830595
C_rule,14,1,4,2,0.434782,0.450598,68051,6042,20.540438,2.812654
C_rule,14,1,4,3,0.456646,0.460333,68355,6064,23.664620,2.842071
C_rule,14,1,4,4,0.441906,0.456648,68083,6015,21.243197,2.839129
C_rule,14,1,4,5,0.460249,0.460253,68428,6181,23.343480,2.891700
C_rule,14,1,4,6,0.446209,0.452581,68294,6023,22.437637,2.813864
C_rule,14,1,4,7,0.464665,0.452015,68775,6033,25.178116,2.833160
C_rule,14,1,4,8,0.456133,0.457419,68400,6155,23.918787,2.823834
C_rule,14,1,4,9,0.440436,0.469660,67702,6092,20.703615,2.854801
C_rule,14,1,4,10,0.456891,0.462822,68333,5864,24.177449,2.816802
C_rule,14,1,4,11,0.458529,0.471725,68121,6022,24.017504,2.840107
C_rule,14,1,4,12,0.436490,0.453008,68036,6026,20.277074,2.842139
C_rule,14,1,4,13,0.447675,0.464985,68018,6014,21.999102,2.850550
C_rule,14,1,4,14,0.436670,0.464372,67723,6193,19.774468,2.870685
C_rule,14,1,4,15,0.428292,0.447018,67988,5980,19.183548,2.826934
